AcquisitionQuarter,CohortSize,Churned,RetentionRate
2018Q1,651,23,96.47
2018Q2,293,27,90.78
2018Q3,245,26,89.39
2018Q4,218,17,92.2
2019Q1,203,25,87.68
2019Q2,209,27,87.08
2019Q3,218,35,83.94
2019Q4,202,33,83.66
2020Q1,206,35,83.01
2020Q2,177,27,84.75
2020Q3,199,41,79.4
2020Q4,180,42,76.67
2021Q1,203,37,81.77
2021Q2,198,49,75.25
2021Q3,201,43,78.61
2021Q4,230,51,77.83
2022Q1,269,63,76.58
2022Q2,207,54,73.91
2022Q3,264,78,70.45
2022Q4,284,99,65.14
2023Q1,332,114,65.66
2023Q2,373,139,62.73
2023Q3,419,187,55.37
2023Q4,1051,597,43.2
2024Q1,11,0,100.0
