Month,PctRetained
0,100.0
1,99.84
2,91.14
3,87.76
4,84.92
5,82.42
6,80.53
7,78.97
8,77.11
9,75.37
10,73.68
11,72.03
12,70.62
13,68.96
14,67.41
15,66.34
16,64.93
17,63.79
18,62.56
19,61.18
20,60.14
21,59.14
22,58.24
23,56.96
24,55.76
25,54.42
26,53.3
27,52.18
28,51.16
29,50.35
30,49.33
31,48.3
32,47.38
33,46.4
34,45.49
35,44.57
36,43.32
37,42.61
38,41.69
39,40.85
40,40.05
41,39.15
42,38.15
43,37.23
44,36.31
45,35.58
46,34.72
47,33.66
48,32.7
49,31.79
50,30.85
51,29.89
52,28.92
53,27.79
54,26.79
55,25.83
56,24.92
57,23.78
58,22.86
59,21.91
60,21.06
61,19.98
62,18.9
63,17.9
64,16.88
65,15.75
66,14.67
67,13.4
68,12.01
69,10.59
70,9.24
71,7.55
72,5.14
