Cohort,CohortSize,Month 0,Month 3,Month 6,Month 9,Month 12,Month 15,Month 18,Month 21,Month 24
2018Q1,651,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018Q2,293,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018Q3,245,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018Q4,218,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019Q1,203,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019Q2,209,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019Q3,218,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019Q4,202,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020Q1,206,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020Q2,177,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020Q3,199,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020Q4,180,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021Q1,203,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021Q2,198,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021Q3,201,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021Q4,230,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2022Q1,269,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,34.9
2022Q2,207,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.4,0.0
2022Q3,264,100.0,100.0,100.0,100.0,100.0,100.0,36.7,0.0,0.0
2022Q4,284,100.0,100.0,100.0,100.0,100.0,34.9,0.0,0.0,0.0
2023Q1,332,100.0,100.0,100.0,100.0,35.2,0.0,0.0,0.0,0.0
2023Q2,373,100.0,100.0,100.0,31.9,0.0,0.0,0.0,0.0,0.0
2023Q3,419,100.0,100.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0
2023Q4,1051,100.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q1,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
