Date,Campaign,Marketing Channel,Impressions,Clicks,CTR,Landing Page Visits,Leads,Qualified Leads,Customers,Conversion Rate,Revenue,Cost,ROI,Country,Device,Age Group,Gender,Campaign Type
2024-01-01,Influencer Collab,Affiliate,20802,555,2.668,465,143,88,21,0.101,2227.04,273.66,713.8,United States,Mobile,25-34,Female,Conversion
2024-01-01,Anniversary Sale,TikTok Ads,15192,788,5.1869,626,156,59,26,0.1711,1372.69,457.06,200.33,United Kingdom,Mobile,35-44,Male,Retargeting
2024-01-01,Back to School,Affiliate,15831,553,3.4931,491,143,59,22,0.139,1742.9,275.66,532.26,India,Mobile,18-24,Male,Retargeting
2024-01-01,Flash Weekend Deal,YouTube Ads,18672,724,3.8775,573,127,63,15,0.0803,2351.97,661.1,255.77,India,Desktop,45-54,Female,Awareness
2024-01-01,Loyalty Rewards Push,YouTube Ads,17984,530,2.9471,413,108,57,17,0.0945,2464.42,448.96,448.92,United Kingdom,Desktop,45-54,Female,Consideration
2024-01-01,Brand Awareness Drive,Affiliate,22251,1012,4.5481,911,294,160,41,0.1843,2850.97,416.07,585.21,United States,Mobile,18-24,Male,Retargeting
2024-01-02,Customer Win-Back,YouTube Ads,23871,773,3.2382,674,165,92,22,0.0922,1945.68,652.51,198.18,India,Mobile,25-34,Female,Awareness
2024-01-03,Customer Win-Back,Email Marketing,10118,589,5.8213,553,175,98,40,0.3953,4837.56,150.08,3123.32,India,Desktop,18-24,Female,Loyalty
2024-01-04,Summer Sale Blast,Facebook Ads,30933,1107,3.5787,962,167,65,21,0.0679,4049.47,813.06,398.05,United States,Mobile,25-34,Male,Awareness
2024-01-05,New Year Kickoff,Affiliate,7896,312,3.9514,273,63,35,9,0.114,926.5,263.36,251.8,United States,Desktop,55+,Male,Conversion
2024-01-05,Festive Mega Offer,YouTube Ads,14787,573,3.875,482,140,60,11,0.0744,1340.21,575.62,132.83,United States,Mobile,25-34,Male,Conversion
2024-01-05,Lead Gen Webinar,Google Ads,12145,863,7.1058,732,254,150,55,0.4529,9578.36,923.01,937.73,India,Mobile,18-24,Male,Consideration
2024-01-05,Anniversary Sale,YouTube Ads,24438,728,2.979,633,101,57,12,0.0491,1128.46,723.45,55.98,UAE,Mobile,35-44,Male,Awareness
