AcquisitionMonthLabel,CohortSize,Churned,RetentionRate,ChurnRate
2018-01,362,6,98.34,1.66
2018-02,170,6,96.47,3.53
2018-03,119,11,90.76,9.24
2018-04,95,8,91.58,8.42
2018-05,100,9,91.0,9.0
2018-06,98,10,89.8,10.2
2018-07,89,13,85.39,14.61
2018-08,76,9,88.16,11.84
2018-09,80,4,95.0,5.0
2018-10,72,4,94.44,5.56
2018-11,70,5,92.86,7.14
2018-12,76,8,89.47,10.53
2019-01,76,6,92.11,7.89
2019-02,60,8,86.67,13.33
2019-03,67,11,83.58,16.42
2019-04,65,8,87.69,12.31
2019-05,80,10,87.5,12.5
2019-06,64,9,85.94,14.06
2019-07,68,13,80.88,19.12
2019-08,70,14,80.0,20.0
2019-09,80,8,90.0,10.0
2019-10,68,8,88.24,11.76
2019-11,68,10,85.29,14.71
2019-12,66,15,77.27,22.73
2020-01,64,9,85.94,14.06
2020-02,68,14,79.41,20.59
2020-03,74,12,83.78,16.22
2020-04,61,6,90.16,9.84
2020-05,51,6,88.24,11.76
2020-06,65,15,76.92,23.08
2020-07,65,14,78.46,21.54
2020-08,70,14,80.0,20.0
2020-09,64,13,79.69,20.31
2020-10,56,14,75.0,25.0
2020-11,59,13,77.97,22.03
2020-12,65,15,76.92,23.08
2021-01,50,10,80.0,20.0
2021-02,88,15,82.95,17.05
2021-03,65,12,81.54,18.46
2021-04,64,14,78.12,21.88
2021-05,69,19,72.46,27.54
2021-06,65,16,75.38,24.62
2021-07,72,16,77.78,22.22
2021-08,72,15,79.17,20.83
2021-09,57,12,78.95,21.05
2021-10,72,13,81.94,18.06
2021-11,79,15,81.01,18.99
2021-12,79,23,70.89,29.11
2022-01,94,23,75.53,24.47
2022-02,85,13,84.71,15.29
2022-03,90,27,70.0,30.0
2022-04,63,17,73.02,26.98
2022-05,71,18,74.65,25.35
2022-06,73,19,73.97,26.03
2022-07,97,24,75.26,24.74
2022-08,87,26,70.11,29.89
2022-09,80,28,65.0,35.0
2022-10,99,37,62.63,37.37
2022-11,76,24,68.42,31.58
2022-12,109,38,65.14,34.86
2023-01,117,38,67.52,32.48
2023-02,99,31,68.69,31.31
2023-03,116,45,61.21,38.79
2023-04,119,46,61.34,38.66
2023-05,123,42,65.85,34.15
2023-06,131,51,61.07,38.93
2023-07,110,40,63.64,36.36
2023-08,133,64,51.88,48.12
2023-09,176,83,52.84,47.16
2023-10,200,94,53.0,47.0
2023-11,238,123,48.32,51.68
2023-12,613,380,38.01,61.99
2024-01,11,0,100.0,0.0
